Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5501.124949,5557.49596,4333.402494,3360.2359,2718.693291,2419.869036,2470.997884,2633.53196,2900.661435,3135.34781,3533.488324,3941.147053,4392.921866,4944.731276,5550.128142,7167.444877,9827.823991,12474.41629,13796.50314,14896.96381,15623.88778,15754.15236,16192.92874,17208.20312,17662.58972,17834.11605,17276.02986,17449.94008,
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666.768474,706.8591952,714.9119418,673.139284,649.8512964,601.5959376,556.1972159,550.2559745,575.6549254,570.0298608,567.0095941,577.8491035,595.924657,582.1039505,606.9998075,611.6598029,642.7589382,659.9242587,682.1532927,690.2766263,711.2273081,732.2629901,756.3914047,783.9717954,808.1312557,761.2555785,741.3504917,735.4502248,
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18758.99755,19675.6326,20349.32658,20550.63989,21600.12521,22531.71693,22891.1031,23927.50564,24563.97501,25642.26165,27988.47361,28958.49317,30482.78465,31056.42977,32237.96541,33332.33135,35386.24354,36872.63472,38133.50146,38008.8318,40051.9559,41284.15101,42435.90925,43611.07291,44604.51105,45582.09769,47220.36312,49366.67634,
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945.1518386,984.0794949,1000.84945,1047.155561,1054.30053,1104.374231,1136.837755,1186.13463,1210.161151,1256.66336,1320.575332,1380.291777,1422.615539,1456.018073,1516.069526,1545.33054,1608.390157,1700.802353,1768.32387,1772.746943,1781.563128,1820.894693,1891.547347,2006.355457,2114.506972,2122.235401,2169.70967,2276.496205,
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.5964115,598.6475413,597.4120673,615.8804595,620.1132175,651.1075139,715.9494524,752.9481709,794.1651937,841.91999,852.1861877,903.0596263,929.7098089,993.0317605,1035.276547,1127.290495,1198.224389,1261.115971,1338.54178,1347.25865,1394.252952,1472.716482,1550.633368,1620.210385,1672.027188,1704.85949,1773.313577,1866.160998,
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.2360441,869.1285118,916.3005332,960.9330484,997.7341733,1047.934841,1091.757894,1136.084251,1183.095173,1232.141274,1301.153664,1372.036026,1420.093328,1490.668875,1585.804812,1717.994062,1863.751649,2023.750526,2163.039714,2264.332681,2392.746457,2570.850145,2758.494774,2940.872625,3141.565796,3345.531421,3583.781774,3877.032452,
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5191.152776,4959.817967,4754.745869,4834.226304,5043.96173,5320.081132,5624.644234,5688.651849,6141.219214,5767.192339,6377.846822,6908.917992,7726.455095,8343.157437,9122.848932,10211.27383,11313.47738,12800.88582,14328.96449,14146.17915,14934.1145,15676.13848,16208.25072,16571.02626,17534.3888,18186.48636,19500.40144,20948.09706,
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22689.50809,25369.8813,26979.07415,30412.64363,30228.21902,31268.58591,32290.53867,32933.51906,33818.48419,34527.30112,35614.12702,35570.42001,35507.84384,36249.46661,37390.94732,38457.41094,39153.80347,40273.38313,40547.37572,39402.79118,39740.39282,40164.58274,41745.88722,44262.11168,46322.2336,46912.76317,47236.09065,47708.05549,
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20026.3677,19464.64833,18785.72941,18933.96263,19603.85032,20571.76209,21552.00064,22125.00362,23170.47121,24904.17509,26143.19615,26966.2552,27572.97824,27187.67861,27589.46036,28842.86655,29879.99165,30528.23605,29850.16846,28319.1399,28624.05903,28941.02823,29959.38095,29941.45396,30069.8715,30338.3505,29813.2816,30494.74629,
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949.4288296,1202.846534,2353.13653,3240.449755,3788.577805,4206.142687,4529.313617,4731.21895,5114.303997,5348.968716,6172.592698,6451.90004,7378.774482,8164.304192,9006.46812,9004.902892,9305.863104,9901.589965,10181.93717,10825.90244,11164.22276,11650.479,12346.40039,13107.72156,
