"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.01191997528076","0.992659986019135","0.999490022659302","0.989000022411346","0.97706001996994","0.952910006046295","0.963389992713928","0.967980027198792","0.986760020256042","1.00584995746613","1.00443994998932","1.01460003852844","1.00871002674103","1.02155995368958","","","","","","",
"Afghanistan","AFG","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.167339995503426","0.161369994282722","0.161029994487762","0.168950006365776","0.167180001735687","0.174150004982948","0.180910006165504","0.192589998245239","0.199159994721413","","","0.242669999599457","0.484470009803772","","0.470939993858337","0.477160006761551","0.532410025596619","","0.501470029354095","","","0.537329971790314","","0.360570013523102","0.430079996585846","0.471689999103546","","","","","","0","","0.543560028076172","0.405900001525879","0.548759996891022","0.575460016727448","0.570230007171631","0.589690029621124","0.613699972629547","0.630020022392273","0.668110013008118","0.674070000648499","0.660059988498688","0.658649981021881","0.651989996433258","","0.649800002574921","",
"Angola","AGO","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.555589973926544","0.574720025062561","","","","","","","","","","0.811320006847382","0.776859998703003","","","","","","","","","","","","","","","0.804139971733093","","","","","","","","","","0.818610012531281","0.80978000164032","0.765339970588684","0.620949983596802","","","","","","","",
"Albania","ALB","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","0.931020021438599","","0.932430028915405","0.936649978160858","0.926370024681091","0.922089993953705","0.933160006999969","0.95863002538681","0.949930012226105","0.939180016517639","0.938539981842041","0.941150009632111","0.954439997673035","0.952289998531342","0.942900002002716","0.944400012493134","1.00516998767853","1.03437995910645","0.995090007781982","0.971069991588593","0.975199997425079","0.9582399725914","","0.955540001392365","0.962960004806519","0.973630011081696","","","0.966390013694763","0.964280009269714","0.970939993858337","0.982150018215179","0.984149992465973","1.00057995319366","0.986819982528687","0.979290008544922","0.96969997882843","0.957469999790192","0.945699989795685","0.942780017852783","0.945469975471497","0.952170014381409","",
"Andorra","AND","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","1.14837002754211","","","","","","","","1.02509999275208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.620000004768372","0.618139982223511","0.624180018901825","0.631470024585724","0.638629972934723","0.64326000213623","0.652050018310547","0.662949979305267","0.671739995479584","0.692390024662018","0.703909993171692","0.71603000164032","0.726029992103577","0.733820021152496","0.74083000421524","0.74975997209549","0.758469998836517","0.767669975757599","0.771309971809387","0.782429993152618","0.79297000169754","0.79941999912262","0.81318998336792","0.820729970932007","0.823870003223419","0.837430000305176","0.822539985179901","0.84579998254776","0.85699999332428","0.868219971656799","0.877009987831116","0.885930001735687","0.894840002059937","0.902939975261688","0.906539976596832","0.913280010223389","0.916819989681244","0.919679999351501","0.922150015830994","0.923099994659424","0.924329996109009","0.922850012779236","0.929040014743805","0.929589986801147","0.930970013141632","0.934719979763031","0.935060024261475","0.935829997062683","",
"United Arab Emirates","ARE","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","0.820850014686584","0.91812002658844","0.927100002765656","0.938489973545074","1.0097199678421","1.04463994503021","1.02604997158051","0.988810002803802","0.946590006351471","0.96408998966217","0.957000017166138","0.946850001811981","0.946489989757538","0.962809979915619","1.00339996814728","1.02486002445221","1.03665995597839","1.03986001014709","1.03621995449066","1.03664004802704","1.03574001789093","1.0198700428009","1.00574994087219","","1.03131997585297","1.04498994350433","","","","","","","","","","","","","","","","","","0.952809989452362","","",
"Argentina","ARG","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","1.03323996067047","1.02990996837616","1.02277994155884","1.02952003479004","1.02658998966217","1.03027999401093","1.02728998661041","1.02866005897522","1.03747999668121","1.02321004867554","1.02485001087189","1.02456998825073","1.01254999637604","","1.01809000968933","1.02794003486633","1.01476001739502","1.01620995998383","1.05675995349884","","","","","","","","1.02534997463226","1.02837002277374","1.01707994937897","1.03150999546051","1.02401995658875","1.02516996860504","1.02437996864319","1.0271600484848","1.03167998790741","1.03586995601654","1.04249000549316","1.04800999164581","1.05099999904633","1.04797995090485","1.0359799861908","1.03973996639252","1.03373003005981","1.0300999879837","1.02965998649597","1.02662003040314","1.01897001266479","","",
"Armenia","ARM","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.07114005088806","","","","","","","1.00602996349335","0.995689988136292","0.989920020103455","0.995280027389526","1.00771999359131","","1.02892005443573","1.04016995429993","1.03787004947662","","","",
"American Samoa","ASM","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
